OTU ID,MH001P_S18,MH003P_S39,MH005P_S35,MH007P_S7,MH009P_S56,MH011P_S23,MH013P_S36,MH015P_S53,MH017P_S17,MH019P_S28,MH021P_S26,MH023P_S54,MH025P_S24,MH026S_S37,MH027S_S22,MH028SC_S57,MH028S_S13,MH030S_S52,MH031S_S51,MH034P_S33,MH034S_S20,MH035P_S1,MH035S_S11,MH036P_S42,MH036S_S55,MH038P_S15,MH038S_S4,MH039P_S48,MH039S_S9,MH040P_S63,MH040S_S27,MH041S_S38,MH041P_S6,MH047P_S31,MH047S_S46,MH048P_S2,MH048S_S44,MH049P_S41,MH049S_S50,MH050P_S45,MH050S_S32,MH056P_S60,MH056S_S29,MH057P_S47,MH057S_S8,MH058P_S21,MH058S_S34,MH059S_S49,MH060S_S16,MH061S_S59,MH063SR_S62,MH063S_S10
MH18_aOTU_1,13788,23009,11896,15634,17551,13362,14387,17481,12267,28955,6371,12495,12983,8617,11301,12461,11726,7218,6769,12865,516,10247,45,13647,13,11186,19971,2609,2916,13335,930,3495,15523,14445,9070,10950,1009,8689,1280,20457,12961,25827,9456,17372,2458,11519,868,2479,14,42,3,15
MH18_aOTU_2,12816,20067,10796,14536,16291,12348,13418,15799,11048,26143,5865,11751,12217,8075,10497,11612,11019,6700,6417,11744,447,8969,40,12603,16,10845,18353,3142,2424,12242,927,3204,14248,13438,8143,10062,897,7935,1239,19187,11100,23958,8980,15440,2153,10456,802,2281,12,41,7,13
MH18_aOTU_3,13231,20920,10396,14417,16849,12293,13233,15761,11362,27733,5917,11523,11931,7484,10392,11513,10341,6463,5928,11971,470,8699,34,12918,18,10287,18357,3060,2346,11914,773,3157,14413,13279,7997,9557,796,8038,1016,18746,11276,23157,8247,16183,2041,10853,692,1947,16,21,4,8
MH18_aOTU_4,11583,19006,9795,13196,15336,11330,12118,14400,10337,25091,5437,10323,10936,7197,9560,10510,9085,5789,5299,10658,371,8054,34,12152,21,9780,16799,3673,2131,10849,684,2761,13202,11692,7337,8912,690,6807,1005,17421,10214,20937,7637,14780,1840,9674,680,1747,5,26,6,9
MH18_aOTU_5,7397,12266,6225,8490,9479,7089,7649,9414,6330,15432,3325,6656,7003,4402,5945,7245,6276,3484,3529,6943,291,5389,19,7401,9,5981,11778,1418,1414,7246,503,1714,8430,7903,4478,5790,457,4917,654,11770,7498,14139,4725,9131,1175,6126,459,1145,1,21,2,4
MH18_aOTU_6,6878,11103,5855,7758,9185,6345,6820,8676,5973,14398,3296,6126,6441,4205,5848,6363,5779,3357,3203,6307,221,5100,15,6707,7,5859,10699,1523,1403,6647,465,1612,7722,7141,4253,5339,441,4212,572,10426,6759,13092,4196,8583,1158,5583,427,1193,5,14,1,1
MH18_aOTU_7,6902,11260,5547,7473,8819,6247,7111,8504,5790,14665,3034,5866,6314,3891,5342,6411,5226,3012,2940,6333,197,4594,18,7110,9,5401,10616,1409,1108,6312,430,1440,7580,7255,3785,5124,394,4226,482,10191,6740,12144,4173,8429,950,5509,322,967,4,15,2,10
MH18_aOTU_8,6393,10098,5069,6933,8113,5606,6348,7606,5305,13461,2910,5511,6133,3549,4754,5768,4821,2763,2684,5702,192,4292,20,6535,6,5099,9625,1520,1105,5736,351,1368,7153,6432,3451,4711,345,3850,421,9396,6103,11113,3588,7887,906,5026,285,876,0,13,0,2
MH18_aOTU_9,5628,7334,4024,6502,6104,4839,4086,4904,3477,8752,1461,3068,3190,87,112,158,77,1169,906,3085,5,2497,2,4729,0,3604,5834,1201,451,4658,312,335,5314,5241,1751,3901,183,3811,16,6669,4622,8157,2165,5795,258,4161,283,551,4,3087,0,2
MH18_aOTU_10,5276,6612,3745,5613,5635,4427,3775,4433,3225,7545,1434,2784,2810,108,76,120,75,995,853,2698,1,2242,7,4346,5,3682,5196,1336,463,4395,338,292,4846,4752,1609,3660,190,3513,13,6124,4046,7481,2122,5308,274,3883,222,523,5,2693,0,5
MH18_aOTU_11,5129,6745,3441,5871,5635,4459,3932,4398,3165,8146,1420,2762,2965,131,89,105,75,973,735,2732,0,2209,5,4525,1,3442,5373,1375,407,4178,251,320,5019,4746,1578,3345,139,3554,16,5866,4112,7387,1949,5325,234,3978,218,407,1,2499,0,5
MH18_aOTU_12,4966,5912,2989,5274,5318,4054,3705,3820,2824,7556,1297,2537,2376,121,59,110,62,909,699,2428,1,1988,9,4313,0,3238,4698,1525,345,3920,211,241,4630,4337,1389,3193,162,3161,17,5664,3613,6548,1783,4767,282,3507,173,415,0,2307,4,5
MH18_aOTU_13,3100,4048,2143,3427,3175,2560,2362,2611,1834,4656,867,1567,1600,52,41,91,43,522,423,1601,0,1308,5,2511,0,1968,3378,668,246,2676,126,166,3036,2878,898,2058,62,2181,7,3587,2821,4617,1108,3121,163,2354,122,265,0,1294,0,2
MH18_aOTU_14,2802,3518,1929,3082,3012,2397,2139,2405,1803,4163,757,1532,1598,78,38,66,44,520,469,1478,0,1280,5,2465,3,1965,3214,668,206,2477,129,135,2668,2647,795,1819,101,1968,15,3275,2449,3989,1039,2907,171,2134,129,241,2,1240,0,2
MH18_aOTU_15,2926,3695,1839,3091,3042,2279,2041,2493,1604,4407,720,1395,1446,58,29,72,44,554,377,1476,1,1341,4,2622,0,1750,3096,678,213,2295,164,110,2546,2514,755,1797,70,1992,8,3357,2515,3962,1008,2851,108,2110,128,203,2,1069,0,2
MH18_aOTU_16,2679,3233,1761,2818,2883,2084,2042,2071,1535,4113,694,1289,1411,60,34,61,31,403,343,1360,4,1000,0,2159,2,1789,2807,681,175,2157,98,130,2377,2297,700,1762,79,1809,6,2973,2265,3491,838,2648,126,1757,104,190,1,1148,1,0
MH18_aOTU_21,740,4078,1538,17,324,2,12,11,22,13,7,0,1,3818,5164,6518,5042,939,2,3050,0,1628,5,36,2,11,32,2,0,235,0,1,188,80,1,85,0,11,0,46,442,128,0,5,0,3,0,1,2,0,0,0
MH18_aOTU_22,629,3898,1515,10,293,10,24,8,12,16,2,1,1,3541,4663,6062,4780,874,2,2902,0,1521,6,44,0,21,36,3,0,211,0,1,142,53,0,76,0,4,0,42,356,122,1,4,0,0,0,0,0,0,0,0
MH18_aOTU_17,2189,2137,2087,2005,1228,912,523,538,422,1065,213,268,363,40,9,6,1,3,132,545,0,478,0,993,0,673,985,529,35,1249,5,57,1122,1372,791,1216,0,1770,5,1044,880,1201,148,1126,76,919,2,88,1,1,0,0
MH18_aOTU_23,660,3684,1382,18,329,8,20,19,6,3,2,0,3,3375,4694,6141,4550,788,2,2865,0,1457,2,52,0,25,23,2,0,156,0,0,157,63,0,51,0,10,1,26,332,133,0,3,0,1,0,1,0,0,0,0
MH18_aOTU_18,2159,1895,1956,2007,1100,819,492,535,411,907,214,266,324,12,3,3,0,0,141,423,0,373,1,988,0,720,801,453,27,1158,7,85,917,1310,714,1181,4,1558,1,1071,813,1073,130,1132,66,782,2,82,0,0,0,2
MH18_aOTU_19,2237,2013,1731,1822,1071,813,484,453,378,1018,208,292,290,18,16,6,1,2,103,455,0,422,2,896,0,653,832,615,14,1197,0,56,1004,1341,679,1200,0,1733,4,1035,791,1015,116,1035,80,894,4,64,0,0,0,1
MH18_aOTU_24,506,3518,1273,7,292,11,24,6,10,15,1,2,3,3181,4297,5451,4285,703,1,2587,2,1411,7,50,1,18,17,9,0,165,1,0,146,50,0,84,0,4,0,56,325,87,1,0,0,0,0,0,1,0,0,0
MH18_aOTU_20,1861,1786,1738,1697,990,766,384,462,375,828,158,226,275,12,6,6,0,2,112,431,0,388,1,801,0,588,804,527,24,1026,2,66,920,1056,668,1034,0,1497,3,1002,779,1000,93,956,62,809,1,59,0,3,0,0
MH18_aOTU_27,1284,1313,911,1198,823,641,454,488,360,642,127,248,292,14,10,19,37,0,135,391,0,418,2,744,1,568,903,365,52,925,2,299,869,910,269,911,0,709,0,935,687,1062,402,958,129,678,105,0,0,2,0,0
MH18_aOTU_25,1423,1502,457,1443,1023,810,497,520,226,789,112,170,300,26,58,84,80,1,10,432,0,279,0,889,0,547,634,359,3,941,2,2,946,793,24,179,0,1005,0,1066,841,958,5,1046,0,781,2,0,0,0,0,0
MH18_aOTU_29,1209,1286,871,1079,855,587,464,451,323,720,90,262,290,12,7,24,6,0,104,375,0,441,1,689,0,456,773,420,43,768,4,200,833,825,223,804,1,775,3,762,578,911,397,842,106,717,104,2,0,0,0,0
MH18_aOTU_26,1266,1338,526,1386,871,719,386,435,469,980,130,201,281,20,17,18,9,5,11,341,0,236,0,689,0,517,683,255,102,773,3,7,819,1098,141,259,3,1202,3,837,956,901,15,863,0,743,2,4,1,1,0,0
MH18_aOTU_28,1308,1328,402,1295,972,752,414,488,288,661,93,182,252,33,62,75,62,1,3,404,2,251,1,872,0,536,643,396,3,881,6,1,915,772,31,145,1,839,1,892,806,910,3,946,1,770,1,4,1,0,0,0
MH18_aOTU_32,1272,1371,368,1297,882,741,406,403,227,739,86,185,249,29,56,45,51,2,8,388,1,262,1,755,2,512,602,463,2,810,1,2,905,725,15,172,4,935,0,879,737,916,2,975,2,845,4,1,0,0,0,2
MH18_aOTU_31,1163,1243,474,1354,885,739,362,427,340,1053,138,184,287,13,10,15,0,8,8,304,1,225,1,725,0,525,639,276,89,758,0,2,734,914,109,256,1,1058,2,720,807,766,13,810,3,654,1,7,0,1,0,0
MH18_aOTU_30,1197,1271,428,1340,727,612,380,439,320,813,129,209,259,9,14,17,7,6,22,366,0,251,1,610,0,459,630,252,103,768,3,2,807,941,104,292,1,1077,1,772,842,887,20,726,2,612,2,7,0,0,0,0
MH18_aOTU_33,1102,1054,653,852,688,533,360,398,275,679,117,211,272,9,4,33,15,1,145,331,0,370,4,586,0,482,603,333,64,664,4,223,670,814,236,744,0,690,1,665,520,792,348,786,68,525,98,2,0,0,2,1
MH18_aOTU_36,1241,1107,313,1203,896,639,400,354,236,667,109,140,245,40,31,49,40,1,6,365,0,221,0,752,0,491,596,411,7,709,4,2,818,714,17,171,0,710,3,920,684,794,1,851,0,668,5,4,1,0,0,0
MH18_aOTU_37,1254,1126,424,1230,845,622,367,349,310,818,142,179,277,3,19,18,5,6,12,337,0,203,0,588,1,442,582,295,80,756,4,1,660,907,103,203,1,902,0,699,713,757,5,735,1,653,1,1,0,0,0,0
MH18_aOTU_35,993,1051,636,987,588,507,364,376,279,575,77,176,232,8,8,17,26,1,106,300,0,379,4,658,0,440,636,350,31,650,2,200,670,668,226,675,0,621,2,652,452,720,330,687,55,542,91,1,1,0,1,0
MH18_aOTU_41,332,2112,711,5,165,10,10,7,3,7,1,0,4,1854,2506,3357,2591,413,1,1571,0,846,2,26,2,10,12,1,0,86,0,0,67,45,0,32,0,4,0,18,159,72,0,0,0,1,0,0,0,0,0,0
MH18_aOTU_34,1192,985,1108,1150,644,464,268,325,230,480,109,148,201,17,9,6,0,0,85,276,0,245,1,506,1,382,540,242,24,693,1,27,567,681,413,609,0,1025,4,554,504,619,64,594,31,446,3,59,0,0,0,0
MH18_aOTU_42,295,1970,668,3,155,0,7,7,0,3,1,0,3,1772,2432,2954,2406,347,0,1464,0,802,0,30,0,10,15,3,0,99,1,1,67,25,1,28,0,6,0,37,199,55,0,0,0,0,0,0,0,0,0,0
MH18_aOTU_43,292,1986,638,2,179,1,8,0,2,8,1,1,2,1645,2319,3079,2331,379,0,1365,0,755,0,27,0,4,18,1,0,60,0,4,70,37,0,24,0,0,0,31,234,60,0,2,0,0,0,0,0,0,0,0
MH18_aOTU_38,1057,973,1059,968,619,422,276,248,203,489,111,131,173,7,6,11,0,0,72,231,0,221,0,418,0,360,459,230,20,664,0,31,537,671,368,574,1,873,0,510,521,623,68,561,39,494,3,42,0,1,0,0
MH18_aOTU_39,1128,1090,910,967,640,361,237,273,181,528,99,121,201,10,0,5,0,1,57,222,0,199,0,488,0,344,535,266,5,583,0,20,517,696,386,598,1,914,2,505,501,457,44,532,35,427,2,38,0,0,1,0
MH18_aOTU_44,320,1659,677,2,155,2,13,5,11,4,0,0,1,1668,2167,2867,2004,343,0,1369,1,802,0,14,2,10,10,2,0,84,0,2,66,41,1,17,0,1,0,15,180,45,0,3,0,0,0,0,0,0,0,0
MH18_aOTU_40,1052,923,857,869,516,357,220,247,209,441,70,140,143,3,3,4,0,1,58,246,0,192,0,449,0,284,441,227,7,497,3,31,476,600,363,507,1,788,4,483,463,483,46,500,29,461,1,22,0,2,1,0
MH18_aOTU_45,817,927,206,816,535,427,254,276,179,435,71,80,170,23,31,58,31,1,4,228,0,174,0,466,0,308,413,201,3,497,1,2,528,443,17,101,1,537,2,544,481,544,2,595,1,484,0,3,0,0,0,0
MH18_aOTU_46,721,787,273,802,486,426,205,245,249,500,76,111,174,10,4,8,2,5,7,224,1,132,0,386,0,284,383,130,35,409,0,0,443,554,68,125,0,612,4,501,573,518,1,451,1,359,0,4,0,0,0,0
MH18_aOTU_48,745,807,219,776,505,392,244,248,130,390,53,90,134,14,23,28,31,2,3,193,0,119,1,454,0,296,420,208,2,476,0,1,497,444,19,99,0,508,0,536,494,536,5,498,0,395,0,2,0,0,0,0
MH18_aOTU_47,636,675,450,606,413,317,225,263,161,342,76,138,150,10,4,14,16,0,76,164,0,208,0,397,1,310,346,202,21,467,0,126,424,402,111,506,0,398,1,413,425,491,210,410,33,288,74,1,0,0,0,0
MH18_aOTU_51,584,752,169,653,493,454,256,274,187,477,42,101,159,0,1,10,4,0,3,266,0,188,0,497,0,354,422,173,0,415,1,3,578,446,5,118,0,323,1,512,492,535,10,599,3,388,3,0,0,0,0,0
MH18_aOTU_54,600,639,508,587,413,290,223,234,137,401,67,119,170,7,1,12,9,0,61,183,0,219,0,382,0,252,417,214,21,382,3,111,459,492,86,444,0,405,1,393,323,456,171,454,65,314,38,0,1,0,0,0
MH18_aOTU_49,667,815,194,741,541,378,219,289,201,453,69,91,112,22,11,44,34,2,5,219,0,115,0,421,0,262,401,195,0,411,2,1,480,446,13,77,0,555,0,548,416,395,0,458,1,409,0,2,0,0,0,1
MH18_aOTU_53,720,620,224,666,447,383,211,201,215,567,79,77,146,4,8,5,4,0,4,141,0,90,0,343,0,230,349,138,35,391,0,4,467,503,51,140,0,606,2,371,459,478,5,462,3,415,4,6,0,0,0,0
MH18_aOTU_52,686,692,230,704,426,344,190,248,191,434,70,145,150,10,7,14,1,0,4,241,1,105,2,316,2,222,341,116,35,423,1,1,365,539,55,95,0,584,3,432,479,449,6,424,0,422,1,2,0,0,0,0
MH18_aOTU_50,578,617,406,531,382,311,190,203,146,324,80,116,155,11,3,11,11,0,67,165,0,216,0,340,0,271,371,156,20,390,1,120,425,408,131,403,0,407,1,367,343,482,172,454,33,330,46,0,0,1,0,0
MH18_aOTU_56,556,649,134,514,417,383,243,267,160,387,45,103,181,1,5,12,6,0,4,187,2,144,0,405,0,301,380,200,2,425,0,1,449,497,6,95,0,319,1,527,413,494,7,541,1,385,7,1,0,0,0,0
MH18_aOTU_55,622,647,159,690,496,379,197,232,97,378,36,76,129,8,30,29,24,2,0,246,3,121,0,484,0,279,330,195,1,442,1,2,423,428,6,101,1,438,2,448,386,462,3,413,2,387,4,3,0,0,0,0
MH18_aOTU_57,539,694,117,575,423,400,226,237,165,385,37,89,175,0,4,11,5,1,1,179,0,146,0,419,0,298,341,226,0,409,1,0,468,427,9,135,0,288,0,487,426,473,6,566,0,316,1,0,0,1,0,0
MH18_aOTU_58,621,703,277,653,379,349,180,175,179,440,62,92,131,9,2,8,1,2,4,192,0,93,1,346,0,235,308,139,39,384,0,2,324,461,47,115,0,515,1,366,423,446,2,401,0,318,2,1,1,0,0,0
MH18_aOTU_60,508,596,114,514,438,330,258,266,131,349,54,98,148,0,4,3,1,1,0,186,0,124,0,399,0,287,282,194,1,399,0,6,414,344,6,89,0,298,0,470,408,488,3,431,1,298,1,2,0,0,0,0
MH18_aOTU_59,540,551,406,458,342,217,160,201,165,307,48,84,112,6,5,11,6,1,55,155,0,176,0,330,0,228,310,174,15,333,0,103,340,346,109,343,0,311,2,388,306,382,131,385,24,223,45,0,0,0,0,0
MH18_aOTU_66,0,16,0,0,0,0,3,3,3,14,12,30,30,13,6,16,0,1338,250,3,0,0,0,0,0,2,8,0,185,0,0,166,0,0,167,0,0,0,0,0,0,0,911,0,82,3,58,0,0,3825,0,1441
MH18_aOTU_61,529,567,63,568,426,346,153,174,181,529,38,69,125,14,1,3,7,3,19,153,0,73,0,337,0,196,243,131,20,310,2,1,375,310,12,18,1,433,1,340,382,288,13,383,3,359,0,6,0,1,1,0
